0,1,2,3,4
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.0,0.01,0.01,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.01,0.01,0.0,0.0,0.0
0.13,0.0,0.01,0.0,0.0
0.26,0.15,0.02,0.0,0.0
0.36,0.21,0.0,0.0,0.0
0.55,0.32,0.1,0.01,0.0
0.58,0.36,0.14,0.0,0.0
0.58,0.4,0.01,0.01,0.0
0.59,0.43,0.01,0.0,0.0
0.61,0.43,0.0,0.0,0.0
0.87,0.78,0.65,0.33,0.0
0.84,0.7,0.5,0.05,0.0
0.82,0.64,0.43,0.01,0.0
0.81,0.6,0.34,0.0,0.0
0.8,0.57,0.2,0.0,0.0
